股票代碼,3003,自營商買賣超(張)
期別,買賣超(張)
17'07/17,0
17'07/14,+29
17'07/13,+47
17'07/12,+16
17'07/11,-10
17'07/10,+91
17'07/07,-35
17'07/06,-35
17'07/05,+49
17'07/04,+44
17'07/03,0
17'06/30,+11
17'06/29,+11
17'06/28,0
17'06/27,0
17'06/26,+13
17'06/23,-20
17'06/22,+2
17'05/25,-8
17'05/24,-5
17'05/23,-21
17'05/22,+53
17'05/19,+164
17'05/18,0
17'05/17,+35
17'05/16,+6
17'05/15,+59
17'05/12,0
17'05/11,-39
17'05/10,-2
17'05/09,+6
17'05/08,0
17'05/05,+10
17'05/04,-17
17'05/03,-13
17'05/02,+10
17'04/28,-10
17'04/27,+27
17'04/26,+35
17'04/25,0
17'04/24,0
17'04/21,-7
17'04/20,-12
17'04/19,-22
